img_id,class,order,family,genus,species,subsp,note,crowd_img,cx,cy,rw,rh,point,採集地,採集日,task_name
000000,Eurotatoria,Ploima,Synchaetidae,Polyarthra,Sp._unk,,,プD占部50_×100_1.jpg,0.833454,0.661744,0.02358,0.016782,nagashimadam,長島ダム,2018.06.08,50_100
000001,Branchiopoda,Diplostraca,Bosminidae,Bosminopsis,Bosminopsis deitersi,,,プD占部50_×100_1.jpg,0.231798,0.852038,0.047316,0.04485,nagashimadam,長島ダム,2018.06.08,50_100
000002,Branchiopoda,Diplostraca,Bosminidae,Bosminopsis,Bosminopsis deitersi,,,プD占部50_×100_1.jpg,0.481869,0.450257,0.033174,0.033091,nagashimadam,長島ダム,2018.06.08,50_100
000003,Branchiopoda,Diplostraca,Bosminidae,Bosmina,Bosmina longirostris,,,プD占部50_×100_1.jpg,0.359231,0.390119,0.046076,0.038503,nagashimadam,長島ダム,2018.06.08,50_100
000004,Branchiopoda,Diplostraca,Bosminidae,Bosminopsis,Bosminopsis deitersi,,,プD占部50_×100_1.jpg,0.367757,0.811146,0.042566,0.044851,nagashimadam,長島ダム,2018.06.08,50_100
000005,Branchiopoda,Diplostraca,Bosminidae,Bosmina,Bosmina longirostris,,,プD占部50_×100_1.jpg,0.683102,0.751269,0.039503,0.038657,nagashimadam,長島ダム,2018.06.08,50_100
000006,Eurotatoria,Ploima,Synchaetidae,Polyarthra,Sp._unk,,,プD占部50_×100_1.jpg,0.049249,0.39344,0.016345,0.014985,nagashimadam,長島ダム,2018.06.08,50_100
000007,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Sp._unk,,,プD占部50_×100_1.jpg,0.166099,0.210945,0.014671,0.018066,nagashimadam,長島ダム,2018.06.08,50_100
000008,Eurotatoria,Ploima,Brachionidae,Keratella,Keratella quadrata,,,プD占部50_×100_1.jpg,0.04117,0.816917,0.015064,0.023631,nagashimadam,長島ダム,2018.06.08,50_100
000009,Branchiopoda,Diplostraca,Bosminidae,Bosmina,Bosmina longirostris,,,プD占部50_×100_1.jpg,0.053547,0.130793,0.024137,0.026223,nagashimadam,長島ダム,2018.06.08,50_100
000010,Eurotatoria,Ploima,Brachionidae,Keratella,Keratella quadrata,,,プD占部50_×100_1.jpg,0.744341,0.543215,0.027867,0.020979,nagashimadam,長島ダム,2018.06.08,50_100
000011,Branchiopoda,Diplostraca,Bosminidae,Bosminopsis,Bosminopsis deitersi,,,プD占部50_×100_1.jpg,0.320218,0.818488,0.047316,0.04485,nagashimadam,長島ダム,2018.06.08,50_100
000012,Branchiopoda,Diplostraca,Bosminidae,Bosmina,Bosmina longirostris,,,プD占部50_×100_1.jpg,0.658902,0.679202,0.027867,0.031918,nagashimadam,長島ダム,2018.06.08,50_100
000013,Branchiopoda,Diplostraca,Bosminidae,Bosmina,Bosmina longirostris,,,プD占部50_×100_1.jpg,0.277948,0.79977,0.035997,0.029388,nagashimadam,長島ダム,2018.06.08,50_100
000014,Branchiopoda,Diplostraca,Bosminidae,Bosminopsis,Bosminopsis deitersi,,,プD占部50_×100_1.jpg,0.477739,0.288601,0.047636,0.041729,nagashimadam,長島ダム,2018.06.08,50_100
